ID,Wrestler,Date,Show,Location,Reign,Days,Description
CHAMP 025,Hulk Hogan,12/3/91,This Tuesday in Texas,"San Antonio, TX",4,1,"Hogan's reign lasted 4 days due vacancy's announce being aired on tape delay on December 7, 1991."
CHAMP 026,Vacated,12/4/91,Superstars of Wrestling,"New Haven, CT",0,0,"Hogan was stripped of the title by WWF President Jack Tunney due to the controversy surrounding both of the previous title changes. It aired on tape delay on December 7, 1991."
CHAMP 027,Ric Flair,1/19/92,Royal Rumble,"Albany, NY",1,77,This was the Royal Rumble match in which Flair last eliminated Sid Justice to win the vacant title.
CHAMP 028,Randy Savage,4/5/92,WrestleMania VIII,"Indianapolis, IN",2,149,No description provided
CHAMP 029,Ric Flair,9/1/92,Prime Time Wrestling,"Hershey, PA",2,41,No description provided
CHAMP 030,Bret Hart,10/12/92,House show,"Saskatoon, SK",1,174,No description provided
CHAMP 031,Yokozuna,4/4/93,WrestleMania IX,"Las Vegas, NV",1,1,No description provided
CHAMP 032,Hulk Hogan,4/4/93,WrestleMania IX,"Las Vegas, NV",5,70,No description provided
CHAMP 033,Yokozuna,6/13/93,King of the Ring,"Dayton, OH",2,280,No description provided
CHAMP 034,Bret Hart,3/20/94,WrestleMania X,"New York City, NY",2,248,Roddy Piper was the guest referee.
CHAMP 035,Bob Backlund,11/23/94,Survivor Series,"San Antonio, TX",2,3,This was a Throw in the Towel submission match.
CHAMP 036,Diesel,11/26/94,House show,"New York City, NY",1,358,No description provided
CHAMP 037,Bret Hart,11/19/95,Survivor Series,"Landover, MD",3,133,This was a no disqualification match.
CHAMP 038,Shawn Michaels,3/31/96,WrestleMania XII,"Anaheim, CA",1,231,This was a 60-minute Iron Man match in which Michaels won 1_0 in overtime.
CHAMP 039,Sycho Sid,11/17/96,Survivor Series,"New York City, NY",1,63,No description provided
CHAMP 040,Shawn Michaels,1/19/97,Royal Rumble,"San Antonio, TX",2,25,No description provided
CHAMP 041,Vacated,2/13/97,Raw,"Lowell, MA",0,0,Michaels forfeited the title due to a knee injury.
CHAMP 042,Bret Hart,2/16/97,In Your House 13: Final Four,"Chattanooga, TN",4,1,"This was a four-way elimination match for the vacant title also involving Stone Cold Steve Austin, The Undertaker and Vader."
CHAMP 043,Sycho Sid,2/17/97,Raw,"Nashville, TN",2,34,No description provided
CHAMP 044,The Undertaker,3/23/97,WrestleMania 13,"Rosemont, IL",2,133,This was a no disqualification match.
CHAMP 045,Bret Hart,8/3/97,SummerSlam,"East Rutherford, NJ",5,98,Shawn Michaels was guest referee.
CHAMP 046,Shawn Michaels,11/9/97,Survivor Series,"Montreal, QC",3,140,This was the Montreal Screwjob.
CHAMP 047,Stone Cold Steve Austin,3/29/98,WrestleMania XIV,"Boston, MA",1,91,Mike Tyson was the special outside enforcer.
CHAMP 048,Kane,6/28/98,King of the Ring,"Pittsburgh, PA",1,1,This was a First Blood match.
CHAMP 049,Stone Cold Steve Austin,6/29/98,Raw,"Cleveland, OH",2,90,No description provided
CHAMP 050,Vacated,9/27/98,Breakdown: In Your House,"Hamilton, ON",0,0,The title was vacated after Kane and The Undertaker simultaneously pinned Austin in a triple threat match.[63]
CHAMP 051,The Rock,11/15/98,Survivor Series,"St. Louis, MO",1,44,"Defeated Mankind in the finals of the Deadly Gametournament in a recreation of the Montreal Screwjob to win the vacant title. WWE recognizes The Rock's reign as ending on January 4, 1999, when the following episode aired on tape delay."
CHAMP 052,Mankind,12/29/98,Raw,"Worcester, MA",1,26,"This was a no disqualification match. WWE recognizes Mankind's reign as beginning on January 4, 1999, when the episode aired on tape delay."
CHAMP 053,The Rock,1/24/99,Royal Rumble,"Anaheim, CA",2,2,"This was an ""I quit"" match which The Rock won by knocking Mankind unconscious while someone backstage, later revealed to be Shane McMahon, played an audio recording of Mankind saying ""I quit"" when The Rock placed the microphone against his face. WWE recognizes The Rock's reign as ending on January 31, 1999, when the following match aired on tape delay."
CHAMP 054,Mankind,1/26/99,Halftime Heat,"Tucson, AZ",2,20,"This was an Empty Arena match that aired on tape delay as a special during halftime of Super Bowl XXXIII on January 31, 1999. WWE recognizes Mankind's reign as beginning on January 31."
CHAMP 055,The Rock,2/15/99,Raw,"Birmingham, AL",3,41,This was a ladder match.
CHAMP 056,Stone Cold Steve Austin,3/28/99,WrestleMania XV,"Philadelphia, PA",3,56,This was a no disqualification match with Mankind as guest referee.
CHAMP 057,The Undertaker,5/23/99,Over the Edge,"Kansas City, MO",3,36,Both Vince McMahon and Shane McMahon were guest referees.
CHAMP 058,Stone Cold Steve Austin,6/28/99,Raw,"Charlotte, NC",4,55,No description provided
CHAMP 059,Mankind,8/22/99,SummerSlam,"Minneapolis, MN",3,1,This was a triple threat match also involving Triple H. Jesse Ventura was guest referee.
CHAMP 060,Triple H,8/23/99,Raw,"Ames, IA",1,22,"Shane McMahon was guest referee. WWE recognizes Triple H's reign as ending on September 16, 1999, when the following episode aired on tape delay."
CHAMP 061,Vince McMahon,9/14/99,SmackDown!,"Las Vegas, NV",1,6,"Shane McMahon was guest referee. WWE recognizes Vince McMahon's reign as beginning on September 16, 1999, when the episode aired on tape delay."
CHAMP 062,Vacated,9/20/99,Raw,"Houston, TX",0,0,"McMahon vacated the title due the Fully Loaded stipulation after losing his feud with Stone Cold Steve Austin, who defeated The Undertaker at the event and forced McMahon to no longer appear on WWF television."
CHAMP 063,Triple H,9/26/99,Unforgiven,"Charlotte, NC",2,49,"This was a six-pack challenge match also involving Big Show, The British Bulldog, Kane Mankind and The Rock. Stone Cold Steve Austin was the special outside enforcer."
CHAMP 064,Big Show,11/14/99,Survivor Series,"Detroit, MI",1,50,This was a triple threat match also involving The Rock.
CHAMP 065,Triple H,1/3/00,Raw,"Miami, FL",3,118,No description provided
CHAMP 066,Chris Jericho,4/17/00,Raw,"Miami, FL",1,1,"On April 17, 2000, Jericho defeated Triple H for the WWF Championship after Earl Hebner's fast-count. However, Triple H threatened to fire Hebner and forced him to reverse the decision later that night, therefore nullifying Jericho's 15 minutes reign and continuing the then Triple H's 105 days reign."
CHAMP 067,The Rock,4/30/00,Backlash,"Washington, D.C.",4,21,Shane McMahon was guest referee.
CHAMP 068,Triple H,5/21/00,Judgment Day,"Louisville, KY",4,35,This was a 60-minute Iron Man match which Triple H won 6_5 with Shawn Michaels as guest referee.
CHAMP 069,The Rock,6/25/00,King of the Ring,"Boston, MA",5,119,"This was a six-man tag team match with Kane, The Rock and The Undertaker vs. Triple H, Shane McMahon and Vince McMahon. The Rock pinned Vince McMahon to win Triple H's title."
CHAMP 070,Kurt Angle,10/22/00,No Mercy,"Albany, NY",1,126,This was a no disqualification match.
CHAMP 071,The Rock,2/25/01,No Way Out,"Las Vegas, NV",6,35,"After the WWF purchased World Championship Wrestling (WCW) in March 2001, the WCW Championship became a second concurrently active world championship in the WWF."
CHAMP 073,Stone Cold Steve Austin,4/1/01,WrestleMania X-Seven,"Houston, TX",5,175,This was a no disqualification match.
CHAMP 074,Kurt Angle,9/23/01,Unforgiven,"Pittsburgh, PA",2,15,No description provided
CHAMP 075,Stone Cold Steve Austin,10/8/01,Raw,"Indianapolis, IN",6,62,No description provided
CHAMP 076,Chris Jericho,12/9/01,Vengeance,"San Diego, CA",1,98,"Earlier the same night, Jericho defeated World Champion The Rock for that title. By defeating Austin for the WWF Championship, Jericho unified both titles as the Undisputed WWF Championship to become the first ever undisputed WWF world champion."
CHAMP 077,Triple H,3/17/02,WrestleMania X8,"Toronto, ON",5,35,"In late March 2002, due to the WWF's roster having doubled in size the brand extension began, splitting the roster between the Raw and SmackDown brands, represented by the TV shows of the same name. Championship were being assigned to be exclusive to a specific brand, with the exception of the Undisputed WWF Championship and the WWF Women's Championship, which were non-exclusive at this time. These were the only titles defended on both brands."
CHAMP 078,Hollywood Hulk Hogan,4/21/02,Backlash,"Kansas City, MO",6,28,"After the WWF was renamed World Wrestling Entertainment (WWE) due to a lawsuit by the World Wide Fund for Nature on May 6, 2002, the title was also renamed Undisputed WWE Championship and then WWE Undisputed Championship on May 19, 2002."
CHAMP 079,The Undertaker,5/19/02,Judgment Day,"Nashville, TN",4,63,No description provided
CHAMP 080,The Rock,7/21/02,Vengeance,"Detroit, MI",7,35,This was a triple threat match also involving Kurt Angle.
CHAMP 081,Brock Lesnar,8/25/02,SummerSlam,"Uniondale, NY",1,84,"The following night, Lesnar signed a deal to appear exclusively on the SmackDown brand, making the championship exclusive to the brand. The World Heavyweight Championship was then created for the Raw brand and awarded on Triple H, who was Lesnar's first contender. On September 2, 2002, the Undisputed Championship became the WWE Championship as it was no longer ""undisputed""."
CHAMP 082,Big Show,11/17/02,Survivor Series,"New York, NY",2,28,No description provided
CHAMP 083,Kurt Angle,12/15/02,Armageddon,"Sunrise, FL",3,105,No description provided
CHAMP 084,Brock Lesnar,3/30/03,WrestleMania XIX,"Seattle, WA",2,119,No description provided
CHAMP 085,Kurt Angle,7/27/03,Vengeance,"Denver, CO",4,51,"This was a triple threat match also involving Big Show. WWE recognizes Angle's reign as ending on September 18, 2003, when the following episode aired on tape delay."
CHAMP 086,Brock Lesnar,9/16/03,SmackDown!,"Raleigh, NC",3,152,"This was a 60-minute Iron Man match. WWE recognizes Lesnar's reign as beginning on September 18, 2003, when the episode aired on tape delay."
CHAMP 087,Eddie Guerrero,2/15/04,No Way Out,"Daly City, CA",1,133,No description provided
CHAMP 088,John Bradshaw Layfield,6/27/04,The Great American Bash,"Norfolk, VA",1,280,This was a Texas bullrope match.
CHAMP 089,John Cena,4/3/05,WrestleMania 21,"Los Angeles, CA",1,280,The title became exclusive to the Raw brand following the 2005 WWE draft lottery.
CHAMP 090,Edge,1/8/06,New Year's Revolution,"Albany, NY",1,21,Edge cashed in his Money in the Bank contract immediately after Cena won an Elimination Chamber match.
CHAMP 091,John Cena,1/29/06,Royal Rumble,"Miami, FL",2,133,No description provided
CHAMP 092,Rob Van Dam,6/11/06,ECW One Night Stand,"New York City, NY",1,22,"Van Dam cashed in his Money in the Bank contract from WrestleMania 22. This was an Extreme Rules match. The title became property of the new ECW brand due to Van Dam's status as an ECW wrestler. The ECW World Heavyweight Championship was subsequently reactivated for the brand and awarded to Van Dam, who became the only wrestler to ever hold both titles at the same time"
CHAMP 093,Edge,7/3/06,Raw,"Philadelphia, PA",2,76,This was a triple threat match also involving John Cena.
CHAMP 095,John Cena,9/17/06,Unforgiven,"Toronto, ON",3,380,"This was a Tables, Ladders and Chairs match."
CHAMP 097,Vacated,10/2/07,ECW,"Dayton, OH",0,0,The title was vacated when Cena suffered a torn right pectoral tendon.
CHAMP 098,Randy Orton,10/7/07,No Mercy,"Rosemont, IL",1,1,"Orton was originally scheduled to have a Last Man Standing match against John Cena for the title, but due to Cena vacating the title Vince McMahon awarded it to Orton at the start of the event."
CHAMP 099,Triple H,10/7/07,No Mercy,"Rosemont, IL",6,1,No description provided
CHAMP 100,Randy Orton,10/7/07,No Mercy,"Rosemont, IL",2,203,This was a Last Man Standing match.
CHAMP 101,Triple H,4/27/08,Backlash,"Baltimore, MD",7,210,This was a fatal four-way elimination match also involving John Cena and John Bradshaw Layfield.
CHAMP 103,Edge,11/23/08,Survivor Series,"Boston, MA",3,21,"This was a triple threat match also involving Vladimir Kozlov. Jeff Hardy had originally been scheduled to take part in the match, but he did not participate after being (in storyline) attacked prior to the event. Triple H and Kozlov started the match before Edge was revealed as Hardy's surprise replacement."
CHAMP 104,Jeff Hardy,12/14/08,Armageddon,"Buffalo, NY",1,42,This was a triple threat match also involving Triple H.
CHAMP 105,Edge,1/25/09,Royal Rumble,"Detroit, MI",4,21,This was a no disqualification match.
CHAMP 106,Triple H,2/15/09,No Way Out,"Seattle, WA",8,70,"This was an Elimination Chamber match also involving Big Show, Jeff Hardy, The Undertaker and Vladimir Kozlov. The title became exclusive to the Raw brand following the 2009 WWE draft."
CHAMP 107,Randy Orton,4/26/09,Backlash,"Providence, RI",3,42,"This was a six-man tag team match with The Legacy (Cody Rhodes, Randy Orton and Ted DiBiase against Batista, Triple H and Shane McMahon. Orton pinned Triple H to win the title."
CHAMP 108,Batista,6/7/09,Extreme Rules,"New Orleans, LA",1,2,This was a steel cage match.
CHAMP 109,Vacated,6/9/09,NA,NA,0,NA,The title was vacated when Batista suffered a torn left biceps.
CHAMP 110,Randy Orton,6/15/09,Raw,"Charlotte, NC",4,90,"This was a fatal four-way match for the vacant title also involving Big Show, John Cena and Triple H."
CHAMP 111,John Cena,9/13/09,Breaking Point,"Montreal, QC",4,21,"This was an ""I quit"" match."
CHAMP 113,Randy Orton,10/4/09,Hell in a Cell,"Newark, NJ",5,21,This was a Hell in a Cell match.
CHAMP 114,John Cena,10/25/09,Bragging Rights,"Pittsburgh, PA",5,49,This was a 60-minute Anything Goes Iron Man match in which Cena won 6-5.
CHAMP 116,Sheamus,12/13/09,"TLC: Tables, Ladders & Chairs","San Antonio, TX",1,70,This was a tables match.
CHAMP 117,John Cena,2/21/10,Elimination Chamber,"St. Louis, MO",6,1,"This was an Elimination Chamber match also involving Kofi Kingston, Randy Orton, Ted DiBiase and Triple H."
CHAMP 118,Batista,2/21/10,Elimination Chamber,"St. Louis, MO",2,35,Batista transferred to the Raw roster after winning the title.
CHAMP 119,John Cena,3/28/10,WrestleMania XXVI,"Glendale, AZ",7,84,No description provided
CHAMP 120,Sheamus,6/20/10,Fatal 4-Way,"Uniondale, NY",2,91,This was a fatal four-way match also involving Edge and Randy Orton.
CHAMP 121,Randy Orton,9/19/10,Night of Champions,"Rosemont, IL",6,64,"This was a six-pack elimination challenge match also involving Chris Jericho, Edge, John Cena and Wade Barrett, who decided to cash-in his title shot due to winning the first season of NXT."
CHAMP 122,The Miz,11/22/10,Raw,"Orlando, FL",1,160,The Miz cashed in his Money in the Bank contract after Orton had successfully defended the WWE Championship against Wade Barrett.
CHAMP 123,John Cena,5/1/11,Extreme Rules,"Tampa, FL",8,77,This was a triple threat steel cage match also involving John Morrison.
CHAMP 124,CM Punk,7/17/11,Money in the Bank,"Rosemont, IL",1,28,"Punk (kayfabe) left WWE the day after with the championship, but he returned on the July 25, 2011 episode of Raw and his reign was deemed to continue through this period."
CHAMP 125,Vacated,7/18/11,Raw,"Green Bay, WI",0,0,The title was vacated due Punk leaving WWE.
CHAMP 127,Rey Mysterio,7/25/11,Raw,"Hampton, VA",1,1,Defeated The Miz in a tournament final to crown a new champion.
CHAMP 129,John Cena,7/25/11,Raw,"Hampton, VA",9,20,CM Punk was also recognized as WWE Champion.
CHAMP 130,CM Punk,8/14/11,SummerSlam,"Los Angeles, CA",1,0,Punk defeated Cena in a match to determine the undisputed champion. Triple H was guest referee. This is considered a continuation of Punk's first reign.
CHAMP 131,Alberto Del Rio,8/14/11,SummerSlam,"Los Angeles, CA",1,35,"Del Rio cashed in his Money in the Bank contract after Punk was attacked by Kevin Nash. On August 29, 2011, the first brand extension ended, allowing the WWE Champion and the World Heavyweight Champion to appear on both Raw and SmackDown."
CHAMP 132,John Cena,9/18/11,Night of Champions,"Buffalo, NY",10,14,No description provided
CHAMP 133,Alberto Del Rio,10/2/11,Hell in a Cell,"New Orleans, LA",2,49,This was a triple threat Hell in a Cell match also involving CM Punk.
CHAMP 134,CM Punk,11/20/11,Survivor Series,"New York City, NY",2,434,No description provided
CHAMP 135,The Rock,1/27/13,Royal Rumble,"Phoenix, AZ",8,70,"Punk had initially won, but the match was eventually restarted by Vince McMahon due to interference by The Shield (Dean Ambrose, Roman Reigns and Seth Rollins)."
CHAMP 136,John Cena,4/7/13,WrestleMania 29,"East Rutherford, NJ",11,133,No description provided
CHAMP 137,Daniel Bryan,8/18/13,SummerSlam,"Los Angeles, CA",1,1,Triple H was guest referee.
CHAMP 138,Randy Orton,8/18/13,SummerSlam,"Los Angeles, CA",7,28,Orton cashed in his Money in the Bank contract. Triple H was guest referee.
CHAMP 139,Daniel Bryan,9/15/13,Night of Champions,"Detroit, MI",2,1,No description provided
CHAMP 140,Vacated,9/16/13,Raw,"Cleveland, OH",0,0,The title was vacated after a controversial finish when Bryan defeated Orton to win the title.
CHAMP 141,Randy Orton,10/27/13,Hell in a Cell,"Miami, FL",8,161,"Orton defeated Daniel Bryan in a Hell in a Cell match with Shawn Michaels as guest referee. On December 15, 2013 at TLC: Tables, Ladders & Chairs, Orton defeated John Cena in a Tables, Ladders and Chairs match to unify the World Heavyweight Championship with the WWE Championship. The World Heavyweight Championship was then retired and the WWE Championship became known as the WWE World Heavyweight Championship."
CHAMP 142,Daniel Bryan,4/6/14,WrestleMania XXX,"New Orleans, LA",3,64,This was a triple threat match also involving Batista.
CHAMP 143,Vacated,6/9/14,Raw,"Minneapolis, MN",0,0,Bryan was stripped of the title due to a neck injury.
CHAMP 144,John Cena,6/29/14,Money in the Bank,"Boston, MA",12,49,"This was a ladder match for the vacant title also involving Alberto Del Rio, Bray Wyatt, Cesaro, Kane, Randy Orton, Roman Reigns and Sheamus."
CHAMP 145,Brock Lesnar,8/17/14,SummerSlam,"Los Angeles, CA",4,224,No description provided
CHAMP 146,Seth Rollins,3/29/15,WrestleMania 31,"Santa Clara, CA",1,221,"Rollins cashed in his Money in the Bank contract during a singles match between Lesnar and Roman Reigns, making it a triple threat match and subsequently pinned Reigns to win the match."
CHAMP 148,Vacated,11/5/15,NA,NA,0,NA,"The title was vacated after Rollins suffered a torn ACL, MCL and a damaged meniscus at a live event in Dublin, Ireland."
CHAMP 149,Roman Reigns,11/22/15,Survivor Series,"Atlanta, GA",1,1,Defeated Dean Ambrose in a tournament final to win the vacant title.
CHAMP 150,Sheamus,11/22/15,Survivor Series,"Atlanta, GA",3,22,Sheamus cashed in his Money in the Bank contract.
CHAMP 151,Roman Reigns,12/14/15,Raw,"Philadelphia, PA",2,41,This was a title vs. career match.
CHAMP 152,Triple H,1/24/16,Royal Rumble,"Orlando, FL",9,70,"This was the Royal Rumble match in which Reigns defended the title, which he lost when Reigns was eliminated by Triple H, who lastly eliminated Dean Ambrose."
CHAMP 153,Roman Reigns,4/3/16,WrestleMania 32,"Arlington, TX",3,77,No description provided
CHAMP 154,Seth Rollins,6/19/16,Money in the Bank,"Las Vegas, NV",2,1,No description provided
CHAMP 155,Dean Ambrose,6/19/16,Money in the Bank,"Las Vegas, NV",1,84,Ambrose cashed in his Money in the Bank contract and the title's name reverted to WWE Championship. The brand extension returned and the title became exclusive to the SmackDown brand following the 2016 WWE draft. The WWE Universal Championship was created for the Raw brand; the WWE Championship was renamed to WWE World Championship.
CHAMP 156,AJ Styles,9/11/16,Backlash,"Richmond, VA",1,140,"In December 2016, the title's name was shortened back to WWE Championship.[8]"
CHAMP 157,John Cena,1/29/17,Royal Rumble,"San Antonio, TX",13,14,No description provided
CHAMP 158,Bray Wyatt,2/12/17,Elimination Chamber,"Phoenix, AZ",1,49,"This was an Elimination Chamber match also involving AJ Styles, Baron Corbin, Dean Ambrose and The Miz."
CHAMP 159,Randy Orton,4/2/17,WrestleMania 33,"Orlando, FL",9,49,No description provided
CHAMP 160,Jinder Mahal,5/21/17,Backlash,"Rosemont, IL",1,170,No description provided
CHAMP 161,AJ Styles,11/7/17,SmackDown,"Manchester, England",2,371,No description provided
CHAMP 162,Daniel Bryan,11/13/18,SmackDown,"St. Louis, MO",4,86,No description provided
CHAMP 163,Wes Bailey,,,,,,
